User ID,Anonymized User ID,Course Specific Anonymized User ID
1055648,05ad658561b8485939f5a75805da037d,d9059ba51d74b0f8b64685db25556e20
4297220,4e4c3c4cb2f227bbc05d98e3894c946b,33cd98a6f101d2c8f7dbe111742b6941
6620670,68c56ba9f0d74b3e2abe7506b334e40a,62faaf2b2e2470b81eb1e7527dddf2ad
10442141,73854d37968a7f4dfd137414e53723c5,1fb1f9abaffd1c3e01b74650caf9d166
12146497,f2545b81debf861d96b996db4eee9dd5,57765579ee501a1e75d50575381e9aa3
19435975,3f923a0a7e3077ca5533b4c7a8be5510,7f0588c5fa00deae9923c4f04828beb8
39090806,b4f0568777047d352ac659f9e7becb83,37e67103afa8293f9f9ec6b94e4f1fd7
42731342,b84c1420c67dbf01fa54c7b72752abb1,24df7665e7db56244844a298a6d58ed2
48369687,b14fa801c60fe81863a69e24bb0f7236,b19895344153ef7914a7048d0a3f56cb
57431365,8cf89c3301b29b8324341fd66146daea,18b0e8afbb466e31968992843abcdceb
64062961,ae8773a257b568fd93a64c61c75f354f,a970666075d787f8ea29749922f327b0
67485275,6cab2bddd339e534af0e3d3cd14c1dd8,540f5ca8895d5b2c4e294bf8412cdd1f
68548695,aa0b656b25cfbced850e1e71f4c33678,9c580baffaca4666779db9e7e4fd2514
68900896,c25b0f9eaaeecd0677b992a22d00d350,a47668b864ea43e8e717903820393812
